Title,Year,Duration,Rating
Um Sonho de Liberdade,1994,2h 22m,"9,3"
O Poderoso Chefão,1972,2h 55m,"9,2"
Batman: O Cavaleiro das Trevas,2008,2h 32m,"9,0"
A Lista de Schindler,1993,3h 15m,"9,0"
O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,"9,0"
O Poderoso Chefão II,1974,3h 22m,"9,0"
12 Homens e uma Sentença,1957,1h 36m,"9,0"
O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,"8,9"
Pulp Fiction: Tempo de Violência,1994,2h 34m,"8,9"
 Repetente,2023,2h 27m,"8,9"
 Clube da Luta,1999,2h 19m,"8,8"
 A Origem,2010,2h 28m,"8,8"
 Forrest Gump: O Contador de Histórias,1994,2h 22m,"8,8"
 Três Homens em Conflito,1966,2h 41m,"8,8"
 O Senhor dos Anéis: As Duas Torres,2002,2h 59m,"8,8"
 Maharaja,2024,2h 30m,"8,7"
 Interestelar,2014,2h 49m,"8,7"
 Matrix,1999,2h 16m,"8,7"
 Os Bons Companheiros,1990,2h 25m,"8,7"
 Um Estranho no Ninho,1975,2h 13m,"8,7"
 Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4mL,"8,7"
 Jai Bhim,2021,2h 44m,"8,7"
 Soorarai Pottru,2020,2h 33m,"8,7"
 Charlie: Um Cachorro Especial,2022,2h 44m,"8,7"
 Rocketry: The Nambi Effect,2022,2h 37m,"8,7"
 O Silêncio dos Inocentes,1991,1h 58m,"8,6"
 Seven: Os Sete Crimes Capitais,1995,2h 7m1,"8,6"
 Homem-Aranha: Através do Aranhaverso,2023,2h 20m,"8,6"
 À Espera de um Milagre,1999,3h 9m1,"8,6"
 Cidade de Deus,2002,2h 10m,"8,6"
 O Exterminador do Futuro 2: O Julgamento Final,1991,2h 17m,"8,6"
 O Resgate do Soldado Ryan,1998,2h 49m,"8,6"
 A Viagem de Chihiro,2001,2h 5mL,"8,6"
 Star Wars: Episódio IV - Uma Nova Esperança,1977,2h 1mL,"8,6"
 A Vida é Bela,1997,1h 56m,"8,6"
 Os Sete Samurais,1954,3h 27m,"8,6"
 A Felicidade Não se Compra,1946,2h 10m,"8,6"
 Harakiri,1962,2h 13m,"8,6"
 Duna: Parte 2,2024,2h 46m,"8,5"
 Gladiador,2000,2h 35m,"8,5"
 Alien - O 8º Passageiro,1979,1h 57m,"8,5"
 De Volta para o Futuro,1985,1h 56m,"8,5"
 Parasita,2019,2h 12m,"8,5"
 Os Infiltrados,2006,2h 31m,"8,5"
 O Grande Truque,2006,2h 10m,"8,5"
 O Rei Leão,1994,1h 28m,"8,5"
 O Profissional,1994,1h 50m,"8,5"
 Django Livre,2012,2h 45m,"8,5"
 Whiplash: Em Busca da Perfeição,2014,1h 46m,"8,5"
 A Outra História Americana,1998,1h 59m,"8,5"
 Os Suspeitos,1995,1h 46m,"8,5"
 Era uma Vez no Oeste,1968,2h 46m,"8,5"
 Troca Surpresa,2023,2h 2m1,"8,5"
 Psicose,1960,1h 49m,"8,5"
 O Pianista,2002,2h 30m,"8,5"
 Intocáveis,2011,1h 52m,"8,5"
 Casablanca,1942,1h 42m,"8,5"
 Túmulo dos Vagalumes,1988,1h 28m,"8,5"
 Cinema Paradiso,1988,2h 54m,"8,5"
 Janela Indiscreta,1954,1h 52m,"8,5"
 Tempos Modernos,1936,1h 27m,"8,5"
 Luzes da Cidade,1931,1h 27m,"8,5"
 Sita Ramam,2022,2h 43m,"8,5"
 96,2018,2h 38m,"8,5"
 Coringa,2019,2h 2m1,"8,4"
 Vingadores: Ultimato,2019,3h 1m1,"8,4"
 Aliens: O Resgate,1986,2h 17m,"8,4"
 Bastardos Inglórios,2009,2h 33m,"8,4"
 O Iluminado,1980,2h 26m,"8,4"
 Batman: O Cavaleiro das Trevas Ressurge,2012,2h 44m,"8,4"
 Vingadores: Guerra Infinita,2018,2h 29m,"8,4"
 Apocalypse Now,1979,2h 27m,"8,4"
 Os Caçadores da Arca Perdida,1981,1h 55m,"8,4"
 Amnésia,2000,1h 53m,"8,4"
 Viva: A Vida é uma Festa,2017,1h 45m,"8,4"
 Vá e Veja,1985,2h 22m,"8,4"
